,id,title,category_id,views,likes,favorites,comments,date,tags
0,GDDrCGz91cU,리부트 1생성 해제..방송인 파티 단퐁회 결성합니다..[ 이세계 단퐁회  EP.1 ],20,185578,1085,0,NaN,2023-02-26T12:38:44Z,"['메이플스토리', '메이플', '바이퍼']"
1,UwWao1oWUvE,리부트 1생성 해제..방송인 파티 단퐁회 결성합니다..[ 이세계 단퐁회  EP.2 ],20,191326,1150,0,NaN,2023-03-01T11:49:14Z,"['메이플스토리', '메이플', '제논', '리부트']"
2,dyidENqhNSI,초반에 다 팔고 시작했습니다....[ 이세계 단퐁회  EP.3 ],20,195422,1030,0,NaN,2023-03-06T08:20:47Z,"['메이플스토리', '메이플', '제논', '단퐁회', '리부트']"
3,eXuqauyCgM8,메가버닝으로 하이퍼버닝급 업속도 보여드리겠습니다..[ 이세계 단퐁회  EP.4 ],20,185935,1043,0,NaN,2023-03-08T12:48:05Z,"['메이플스토리', '메이플', '제논', '리부트', '단퐁회']"
4,xV5Y8mJKphA,춘자 진캐 역전세계가 열리려고 합니다... [ 이세계 단퐁회  EP.5 ],20,136287,874,0,NaN,2023-03-10T10:39:50Z,"['메이플스토리', '메이플', '제논', '시드', '리부트', '단퐁회']"
5,-tQx4qEU1ig,쐈어요 그 하나 낭만으로 하는 제논...[ 이세계 단퐁회  EP.6 ],20,167370,1066,0,NaN,2023-03-12T10:57:02Z,"['메이플스토리', '메이플', '제논', '단퐁회', '리부트']"
6,9zbprp6hJps,내 스매셔 기달려줘..............[ 이세계 단퐁회  EP.7 ],20,131068,906,0,NaN,2023-03-15T13:33:47Z,"['메이플스토리', '캐논슈터', '메이플']"
7,VCK6Zk7oQlQ,저도 이젠 리레 오너입니다ㅋㅋ [ 이세계 단퐁회 EP.8 ],20,192763,945,0,NaN,2023-03-18T11:07:08Z,"['메이플스토리', '메이플', '제논', '단퐁회', '리부트']"
8,KHUMLeASFiM,명훈이 격파 완료했습니다 ㅋㅋ [ 이세계 단퐁회 EP.9 ],20,189826,1219,0,NaN,2023-03-21T11:00:13Z,"['메이플스토리', '메이플', '제논', '단퐁회', '리부트']"
9,4GSJLuszhjk,시드링 빼고 다 가진남자............[ 이세계 단퐁회 EP.10 ],20,169404,905,0,NaN,2023-03-23T11:41:32Z,"['메이플스토리', '메이플', '제논', '리부트', '단퐁회']"
10,VLGB61jVJDA,진춘 역전세계.....이번에 뒤집어 보겠습니다..[ 이세계 단퐁회 EP.11 ],20,187655,1171,0,NaN,2023-03-25T10:58:15Z,"['메이플스토리', '메이플', '제논', '단퐁회', '리부트']"
11,zDO9Zb_Dr2c,진짜 X댄거 같습니다....[ 이세계 단퐁회 EP.12 ],20,156389,1218,0,NaN,2023-03-27T12:06:23Z,"['메이플스토리', '메이플', '제논', '리레', '시드', '단퐁회', '리부트']"
12,SGJLq5TMK9Q,비숍 자전 위기에 처했습니다...[ 이세계 단퐁회 EP.13 ],20,124351,813,0,NaN,2023-03-31T03:00:10Z,"['메이플스토리', '메이플', '제논', '리부트', '단퐁회']"
