,id,title,category_id,views,likes,favorites,comments,date,date_gap,duration,tags
0,XkC8q92XLDk,[썸남]#1화 - 옆집 남자랑 썸타도 되는거?,24,2155365,34583,0,NaN,2017-04-03T10:00:03Z,52708.95,401,"['Dingo', 'DingoStudios', 'dingo', 'dingostudios', '딩고', '딩고스튜디오', '썸남', '웹드라마', '드라마', '모바일 드라마', '최우식', '장기용', '장희령', '윤정일', '이병준', '기욤 패트리', '조이', '유세윤', '뮤지', '김희정', '딩고 스튜디오', 'Dingo Studios', 'dingo studios', '네이버', '네이버 웹툰', '부산행', '모델', '브로맨스', '게이', '게이물', '장미물', '오해받기 좋은 상황', '자취', '자취남', '자취 시트콤', '시트콤', '대세는 백합', 'JYP', '우연한 상황', '같은 옷', '짜증나는 상황', '삼겹살집', '어색한 상황', '두 남자', '두 남자 브로맨스', '딩고 썸남', '최우식 장기용', '최우식 웹드', '장기용 웹드', '최우식 썸남', '장기용 썸남', '딩고 최우식', '딩고 장기용', '최우식 여름방학', '여름방학', '썸남 1화']"
1,_RzEGjkScBo,[썸남]#2화 - 가슴은 되는거?,23,1131777,13986,0,NaN,2017-04-05T10:00:30Z,52660.94,342,"['Dingo', 'DingoStudios', 'dingo', 'dingostudios', '딩고', '딩고스튜디오', '썸남', '웹드라마', '드라마', '모바일 드라마', '최우식', '장기용', '장희령', '윤정일', '이병준', '기욤 패트리', '조이', '유세윤', '뮤지', '김희정', '딩고 스튜디오', 'Dingo Studios', 'dingo studios', '네이버', '네이버 웹툰', '모델', '브로맨스', '장미물', '오해받기 좋은 상황', '자취', '자취남', '자취 시트콤', '시트콤', 'JYP', '딩고 썸남', '최우식 장기용', '최우식 웹드', '장기용 웹드', '최우식 썸남', '장기용 썸남', '딩고 최우식', '딩고 장기용', '최우식 여름방학', '여름방학', '썸남 2화']"
2,nZK2tQxNGrU,[썸남]#3화 - 남자끼리 불붙어도 되는거?,23,3858126,22934,0,NaN,2017-04-07T10:00:26Z,52612.94,368,"['Dingo', 'DingoStudios', 'dingo', 'dingostudios', '딩고', '딩고스튜디오', '썸남', '웹드라마', '드라마', '모바일 드라마', '최우식', '장기용', '장희령', '윤정일', '이병준', '기욤 패트리', '조이', '유세윤', '뮤지', '김희정', '딩고 스튜디오', 'Dingo Studios', 'dingo studios', '네이버', '네이버 웹툰', '부산행', '모델', '브로맨스', '게이', '게이물', '장미물', '오해받기 좋은 상황', '자취', '자취남', '자취 시트콤', '시트콤', '대세는 백합', 'JYP', '화장실', '집에 불남', '옷 적심', '벽간소음', '층간소음', '게임', '청소', '요리', '요리왕', '자취방', '딩고 썸남', '최우식 장기용', '최우식 웹드', '장기용 웹드', '최우식 썸남', '장기용 썸남', '딩고 최우식', '딩고 장기용', '최우식 여름방학', '여름방학', '썸남 3화']"
3,1j2VftuFXaA,[썸남]#4화 - 남자 둘이 같이 살아도 되는거?,24,1215791,14502,0,NaN,2017-04-10T10:00:33Z,52540.94,287,"['Dingo', 'DingoStudios', 'dingo', 'dingostudios', '딩고', '딩고스튜디오', '썸남', '네이버 웹툰', '장기용', '최우식', '장희령', '웹드라마', '드라마', '웹예능', '예능', '72초', '72초tv', '동거', '장미물', '대세는백합', '남자끼리 동거', '같이 샤워', '치킨같이먹기', '오해', '오해가 오예를 부른다', '딩고 썸남', '최우식 장기용', '최우식 웹드', '장기용 웹드', '최우식 썸남', '장기용 썸남', '딩고 최우식', '딩고 장기용', '최우식 여름방학', '여름방학', '썸남 4화']"
4,MI7eBvxqpJ0,[썸남]#5화 - 같이 흠뻑 젖어도 되는거?,24,4285085,28208,0,NaN,2017-04-12T10:00:57Z,52492.93,374,"['Dingo', 'DingoStudios', 'dingo', 'dingostudios', '딩고', '딩고스튜디오', '썸남', '웹드라마', '드라마', '모바일 드라마', '최우식', '장기용', '장희령', '윤정일', '이병준', '기욤 패트리', '조이', '유세윤', '뮤지', '김희정', '딩고 스튜디오', 'Dingo Studios', 'dingo studios', '네이버', '네이버 웹툰', '부산행', '모델', '브로맨스', '게이', '게이물', '장미물', '오해받기 좋은 상황', '자취', '자취남', '자취 시트콤', '시트콤', '대세는 백합', 'JYP', '화장실', '집에 불남', '옷 적심', '벽간소음', '층간소음', '게임', '청소', '요리', '요리왕', '자취방', '같이 샤워', '오해할 상황', '비누', '비누를 떨어뜨림', '게이설', '딩고 썸남', '최우식 장기용', '최우식 웹드', '장기용 웹드', '최우식 썸남', '장기용 썸남', '딩고 최우식', '딩고 장기용', '최우식 여름방학', '여름방학', '썸남 5화']"
5,vvxAHoPc4yA,[썸남]#6화 - 남자끼리 포개져도 되는거?,24,1420859,14101,0,NaN,2017-04-14T10:00:48Z,52444.93,421,"['Dingo', 'DingoStudios', 'dingo', 'dingostudios', '딩고', '딩고스튜디오', '썸남', '웹드라마', '드라마', '모바일 드라마', '최우식', '장기용', '장희령', '윤정일', '이병준', '기욤 패트리', '조이', '유세윤', '뮤지', '김희정', '딩고 스튜디오', 'Dingo Studios', 'dingo studios', '네이버', '네이버 웹툰', '부산행', '모델', '브로맨스', '게이', '게이물', '장미물', '오해받기 좋은 상황', '자취', '자취남', '자취 시트콤', '시트콤', '대세는 백합', 'JYP', '화장실', '집에 불남', '옷 적심', '벽간소음', '층간소음', '게임', '청소', '요리', '요리왕', '자취방', '같이 샤워', '오해할 상황', '비누', '비누를 떨어뜨림', '게이설', '딩고 썸남', '최우식 장기용', '최우식 웹드', '장기용 웹드', '최우식 썸남', '장기용 썸남', '딩고 최우식', '딩고 장기용', '최우식 여름방학', '여름방학', '썸남 6화']"
6,iWHD9Xz8l8g,[썸남]#7화 - 이렇게 입 맞춰도 되는거?,24,1079294,13956,0,NaN,2017-04-17T10:00:06Z,52372.95,427,"['Dingo', 'DingoStudios', 'dingo', 'dingostudios', '딩고', '딩고스튜디오', '썸남', '웹드라마', '드라마', '모바일 드라마', '최우식', '장기용', '장희령', '윤정일', '이병준', '기욤 패트리', '조이', '유세윤', '뮤지', '김희정', '딩고 스튜디오', 'Dingo Studios', 'dingo studios', '네이버', '네이버 웹툰', '부산행', '모델', '브로맨스', '게이', '게이물', '장미물', '오해받기 좋은 상황', '자취', '자취남', '자취 시트콤', '시트콤', '대세는 백합', 'JYP', '자취방', '오해할 상황', '게이설', '레드벨벳', '딩고 썸남', '최우식 장기용', '최우식 웹드', '장기용 웹드', '최우식 썸남', '장기용 썸남', '딩고 최우식', '딩고 장기용', '최우식 여름방학', '여름방학', '썸남 7화']"
7,MLxvUHnsM20,[썸남]#8화 - 남자끼리 로맨틱해도 되는 거?,24,983823,15383,0,NaN,2017-04-19T10:00:23Z,52324.94,338,"['Dingo', 'DingoStudios', 'dingo', 'dingostudios', '딩고', '딩고스튜디오', '썸남', '웹드라마', '드라마', '모바일 드라마', '최우식', '장기용', '장희령', '윤정일', '이병준', '기욤 패트리', '조이', '유세윤', '뮤지', '김희정', '딩고 스튜디오', 'Dingo Studios', 'dingo studios', '네이버', '네이버 웹툰', '부산행', '모델', '브로맨스', '게이', '게이물', '장미물', '오해받기 좋은 상황', '자취', '자취남', '자취 시트콤', '시트콤', '대세는 백합', 'JYP', '자취방', '오해할 상황', '게이설', '레드벨벳', '삼겹살집', '삼겹살', '클래식', '패러디', '딩고 썸남', '최우식 장기용', '최우식 웹드', '장기용 웹드', '최우식 썸남', '장기용 썸남', '딩고 최우식', '딩고 장기용', '최우식 여름방학', '여름방학', '썸남 8화']"
8,7g9XJFvKq8g,[썸남]#9화 - 이렇게 격정적이어도 되는 거?,24,969690,12817,0,NaN,2017-04-21T10:00:36Z,52276.94,410,"['Dingo', 'DingoStudios', 'dingo', 'dingostudios', '딩고', '딩고스튜디오', '썸남', '웹드라마', '드라마', '모바일 드라마', '최우식', '장기용', '장희령', '윤정일', '이병준', '기욤 패트리', '조이', '유세윤', '뮤지', '김희정', '딩고 스튜디오', 'Dingo Studios', 'dingo studios', '네이버', '네이버 웹툰', '부산행', '모델', '브로맨스', '게이', '게이물', '장미물', '오해받기 좋은 상황', '자취', '자취남', '자취 시트콤', '시트콤', '대세는 백합', 'JYP', '자취방', '오해할 상황', '게이설', '레드벨벳', '삼겹살집', '삼겹살', '클래식', '패러디', '딩고 썸남', '최우식 장기용', '최우식 웹드', '장기용 웹드', '최우식 썸남', '장기용 썸남', '딩고 최우식', '딩고 장기용', '최우식 여름방학', '여름방학', '썸남 9화']"
9,x9a3LwCxnCU,[썸남]#10화 - 같이 밤새 있어도 되는 거?,24,808261,9555,0,NaN,2017-04-24T06:43:23Z,52208.22,422,"['Dingo', 'DingoStudios', 'dingo', 'dingostudios', '딩고', '딩고스튜디오', '딩고 썸남', '최우식 장기용', '최우식 웹드', '장기용 웹드', '최우식 썸남', '장기용 썸남', '딩고 최우식', '딩고 장기용', '최우식 여름방학', '여름방학', '썸남 10화']"
