,id,title,category_id,views,likes,favorites,comments,date,date_gap,duration,tags
0,Zd0OQDLYqn8,여우 같은 친구│웹드라마,24,130146,2687,0,NaN,2022-12-09T10:30:07Z,177562.67,141,NaN
1,IUuDcea1RWM,여사친의 생리를 본 남사친 (웹드라마  설레는영상  연애  스킨십) [ENG CC],24,3053727,27418,0,NaN,2022-12-19T10:35:23Z,163157.4,153,NaN
2,9tyY2d0Vez8,ㄱㅅ 커지는 방법│웹드라마 [ENG CC],24,428049,5030,0,NaN,2022-12-23T10:30:26Z,157402.35,116,NaN
3,IOkXKEcmbuY,한국 여고생들이 장난치는 방법 (공감  학교  스킨십  가슴)│웹드라마 [ENG CC],24,517877,4895,0,NaN,2023-01-04T11:06:06Z,140086.68,122,NaN
4,zjblPOoB2Cs,잘생긴 남자와 키스하는 방법 (훈남  첫키스  연애  설레는 영상  여고생  10대) │웹드라마 [ENG CC],24,83195,1527,0,NaN,2023-02-18T10:30:14Z,75322.54,130,NaN
5,N9wq2jMRmCY,여고생이 친구 오빠를 덮치면 생기는 일│웹드라마 [ENG CC],24,262362,2380,0,NaN,2023-02-24T10:34:50Z,66677.94,123,NaN
6,lo3lfa3wxwU,[일진과 찐따] 일진이 찐따를 좋아하면 생기는 일│웹드라마 (SUB),24,831651,7836,0,NaN,2023-02-28T10:30:53Z,60921.88,297,NaN
7,wao090SG9V0,[일진과 찐따] 룸카페에서 데이트하면 생기는 일│웹드라마 (SUB),24,806773,7199,0,NaN,2023-03-13T11:00:12Z,42172.57,249,NaN
8,xgwTM_ZAU_I,[일진과 찐따] 화장실에서 고백하면 생기는 일│웹드라마 (SUB),24,521168,6853,0,NaN,2023-03-31T10:30:19Z,16282.45,408,NaN
9,YMxXBkNGU6I,[일진과 찐따] 일진이랑 노래방에 가면 생기는 일 (스케치코미디  너드남  츤데레)│웹드라마 (SUB),24,106595,1994,0,NaN,2023-04-10T10:32:06Z,1880.66,361,NaN
