,id,title,category_id,views,likes,favorites,comments,date,duration,tags
0,fqZ-xJnZnXM,EP01   A medical student comes to a different world to become a poor princess   [Little Mad Doctor],1,163308,2443,0,NaN,2023-04-01T13:30:07Z,622,"['倾世小狂医', 'Little Mad Doctor', '陈欣予', '吴俊余', '甘望星', '康汐', '腾讯视频', 'Tencent video', '腾讯', 'Tencent', 'love story', 'minidrama', 'ChineseDrama', 'eng sub', 'full episodes', 'full version', 'full movies', 'ep01', 'Thriller', 'Comedy', 'Romance', 'Fantasy', 'MDL Remake', 'Actor Male Lead', 'Short Length Series', 'Doctor Female Lead', 'Resident Doctor', 'Parallel Dimension', 'Crossworlds Traveler', 'Web Series', 'Suspense', 'Transmigration', 'doctor']"
1,PAcbojVOhGg,EP02   The cold prince met the girl and asked for a hug directly   [Little Mad Doctor],1,47984,837,0,NaN,2023-04-01T13:30:09Z,568,"['倾世小狂医', 'Little Mad Doctor', '陈欣予', '吴俊余', '甘望星', '康汐', '腾讯视频', 'Tencent video', '腾讯', 'Tencent', 'love story', 'minidrama', 'ChineseDrama', 'eng sub', 'full episodes', 'full version', 'full movies', 'ep01', 'Thriller', 'Comedy', 'Romance', 'Fantasy', 'MDL Remake', 'Actor Male Lead', 'Short Length Series', 'Doctor Female Lead', 'Resident Doctor', 'Parallel Dimension', 'Crossworlds Traveler', 'Web Series', 'Suspense', 'Transmigration', 'doctor']"
2,qDSQF28etNg,EP03   Falling into the arms of a beautiful man~ The prince hugs her in public   [Little Mad Doctor],1,34790,687,0,NaN,2023-04-02T13:30:07Z,529,"['倾世小狂医', 'Little Mad Doctor', '陈欣予', '吴俊余', '甘望星', '康汐', '腾讯视频', 'Tencent video', '腾讯', 'Tencent', 'love story', 'minidrama', 'ChineseDrama', 'eng sub', 'full episodes', 'full version', 'full movies', 'ep01', 'Thriller', 'Comedy', 'Romance', 'Fantasy', 'MDL Remake', 'Actor Male Lead', 'Short Length Series', 'Doctor Female Lead', 'Resident Doctor', 'Parallel Dimension', 'Crossworlds Traveler', 'Web Series', 'Suspense', 'Transmigration', 'doctor']"
3,GEqfVfR0wCA,EP04   Show the love! Hug me first to repay my kindness!   [Little Mad Doctor],1,31855,659,0,NaN,2023-04-02T13:30:11Z,732,"['倾世小狂医', 'Little Mad Doctor', '陈欣予', '吴俊余', '甘望星', '康汐', '腾讯视频', 'Tencent video', '腾讯', 'Tencent', 'love story', 'minidrama', 'ChineseDrama', 'eng sub', 'full episodes', 'full version', 'full movies', 'ep01', 'Thriller', 'Comedy', 'Romance', 'Fantasy', 'MDL Remake', 'Actor Male Lead', 'Short Length Series', 'Doctor Female Lead', 'Resident Doctor', 'Parallel Dimension', 'Crossworlds Traveler', 'Web Series', 'Suspense', 'Transmigration', 'doctor']"
4,_32brVYDwoo,EP01-04   Refuse to marry! The medical student crossed and met a cute prince   [Little Mad Doctor],1,108832,1374,0,NaN,2023-04-03T12:00:12Z,1902,"['倾世小狂医', 'Little Mad Doctor', '陈欣予', '吴俊余', '甘望星', '康汐', '腾讯视频', 'Tencent video', '腾讯', 'Tencent', 'love story', 'minidrama', 'ChineseDrama', 'eng sub', 'full episodes', 'full version', 'full movies', 'ep01', 'Thriller', 'Comedy', 'Romance', 'Fantasy', 'MDL Remake', 'Actor Male Lead', 'Short Length Series', 'Doctor Female Lead', 'Resident Doctor', 'Parallel Dimension', 'Crossworlds Traveler', 'Web Series', 'Suspense', 'Transmigration', 'doctor', '倾世小狂医电视剧线上看', '倾世小狂医线上看', '倾世小狂医剧情', '倾世小狂医mydramalist']"
5,NxT0SdhLUpo,EP05-08   From love to heartbreak! She left once she knew he was using her   [Little Mad Doctor],1,75344,1146,0,NaN,2023-04-03T12:30:07Z,2035,"['倾世小狂医', 'Little Mad Doctor', '陈欣予', '吴俊余', '甘望星', '康汐', '腾讯视频', 'Tencent video', '腾讯', 'Tencent', 'love story', 'minidrama', 'ChineseDrama', 'eng sub', 'full episodes', 'full version', 'full movies', 'ep01', 'Thriller', 'Comedy', 'Romance', 'Fantasy', 'MDL Remake', 'Actor Male Lead', 'Short Length Series', 'Doctor Female Lead', 'Resident Doctor', 'Parallel Dimension', 'Crossworlds Traveler', 'Web Series', 'Suspense', 'Transmigration', 'doctor', '倾世小狂医电视剧线上看', '倾世小狂医线上看', '倾世小狂医剧情', '倾世小狂医mydramalist']"
6,5pA274TYlH8,EP09-12   The ugly girl turned out to be a great beauty! He kneeled to propose   [Little Mad Doctor],1,56428,922,0,NaN,2023-04-04T12:00:09Z,1884,"['倾世小狂医', 'Little Mad Doctor', '陈欣予', '吴俊余', '甘望星', '康汐', '腾讯视频', 'Tencent video', '腾讯', 'Tencent', 'love story', 'minidrama', 'ChineseDrama', 'eng sub', 'full episodes', 'full version', 'full movies', 'ep01', 'Thriller', 'Comedy', 'Romance', 'Fantasy', 'MDL Remake', 'Actor Male Lead', 'Short Length Series', 'Doctor Female Lead', 'Resident Doctor', 'Parallel Dimension', 'Crossworlds Traveler', 'Web Series', 'Suspense', 'Transmigration', 'doctor', '倾世小狂医电视剧线上看', '倾世小狂医线上看', '倾世小狂医剧情', '倾世小狂医mydramalist']"
7,g6BLwPzngnE,EP13-16  Wedding canceled! The prince and the eunuch turn out to be the same one [Little Mad Doctor],1,48220,813,0,NaN,2023-04-05T12:00:06Z,1742,"['倾世小狂医', 'Little Mad Doctor', '陈欣予', '吴俊余', '甘望星', '康汐', '腾讯视频', 'Tencent video', '腾讯', 'Tencent', 'love story', 'minidrama', 'ChineseDrama', 'eng sub', 'full episodes', 'full version', 'full movies', 'ep01', 'Thriller', 'Comedy', 'Romance', 'Fantasy', 'MDL Remake', 'Actor Male Lead', 'Short Length Series', 'Doctor Female Lead', 'Resident Doctor', 'Parallel Dimension', 'Crossworlds Traveler', 'Web Series', 'Suspense', 'Transmigration', 'doctor', '倾世小狂医电视剧线上看', '倾世小狂医线上看', '倾世小狂医剧情', '倾世小狂医mydramalist']"
8,lEDfP8ezYBI,EP17-20   Heartbroken! Jinghong's personal maid betrayed her   [Little Mad Doctor],1,44021,628,0,NaN,2023-04-06T12:00:10Z,1792,"['倾世小狂医', 'Little Mad Doctor', '陈欣予', '吴俊余', '甘望星', '康汐', '腾讯视频', 'Tencent video', '腾讯', 'Tencent', 'love story', 'minidrama', 'ChineseDrama', 'eng sub', 'full episodes', 'full version', 'full movies', 'ep01', 'Thriller', 'Comedy', 'Romance', 'Fantasy', 'MDL Remake', 'Actor Male Lead', 'Short Length Series', 'Doctor Female Lead', 'Resident Doctor', 'Parallel Dimension', 'Crossworlds Traveler', 'Web Series', 'Suspense', 'Transmigration', 'doctor', '倾世小狂医电视剧线上看', '倾世小狂医线上看', '倾世小狂医剧情', '倾世小狂医mydramalist']"
9,8yVxUUoAAC4,EP21-24  Mate for life! Her hair turned white overnight because of lovesickness [Little Mad Doctor],1,44017,577,0,NaN,2023-04-07T12:00:11Z,1774,"['倾世小狂医', 'Little Mad Doctor', '陈欣予', '吴俊余', '甘望星', '康汐', '腾讯视频', 'Tencent video', '腾讯', 'WeTV', 'Tencent', 'love story', 'minidrama', 'ChineseDrama', 'eng sub', 'full episodes', 'full version', 'full movies', 'ep01', 'Comedy', 'Romance', 'Fantasy', 'MDL Remake', 'Actor Male Lead', 'Short Length Series', 'Doctor Female Lead', 'Resident Doctor', 'Parallel Dimension', 'Crossworlds Traveler', 'Web Series', 'Suspense', 'Transmigration', 'doctor', '倾世小狂医电视剧线上看', '倾世小狂医线上看', '倾世小狂医剧情', '倾世小狂医mydramalist']"
