,id,title,category_id,views,likes,favorites,comments,date,date_gap,duration,tags
0,aXgLsPYrI4U,[SUB] ✨ 사쿠라의 행복한 시간....은 무슨! 배쮸 김장 100KG 도전 │  [겁도 없꾸라] EP.01,24,1710308,NaN,0,NaN,2022-11-23T09:00:01Z,3339.75,841,"['宮脇咲良', 'KPOP', '아이돌', '걸그룹', '미야와키사쿠라', '겁꾸라', '꾸라']"
1,kVhAvQwSJh8,[SUB] ✨ 김장 도르마무~ 김장 폭격에 과부하 걸린 사쿠라-★  (ft. 근세라핌) │  [겁도 없꾸라] EP.02,24,1361667,43484,0,NaN,2022-11-30T09:00:31Z,3171.74,786,"['宮脇咲良', 'KPOP', '아이돌', '걸그룹', '미야와키사쿠라', '겁꾸라', '꾸라']"
2,bf7H0S8O6no,[SUB] 강남 한복판에 꾸뱀 출몰✨ 꾸사장님과 100명에게 붕어빵 팔기 │  [겁도 없꾸라] EP.03,24,1646357,82011,0,NaN,2022-12-07T09:24:48Z,3003.34,1370,"['환승연애', 'BamBam', '宮脇咲良', 'KPOP', '아이돌', '걸그룹', '미야와키사쿠라', '겁꾸라', '꾸라']"
3,tN_2sr1C3DQ,[SUB] 사쿠라 레전드 좀비 액션 도전! 액션배우 꾸라 (feat.에미상) │ [겁도 없꾸라] EP.04,24,877882,38108,0,NaN,2022-12-14T09:00:33Z,2835.74,1341,"['宮脇咲良', 'KPOP', '미야와키사쿠라', '사쿠라', 'lesserafim']"
4,urAG-Ngdrug,[SUB] 사쿠라VS주우재 킹받는 노답 토론! 뇌섹남 기강 잡는 팩트 폭격 김꾸라💗 │ [겁도 없꾸라] EP.05,24,1026131,31691,0,NaN,2022-12-21T09:00:24Z,2667.75,1185,"['KPOP', '宮脇咲良', '걸그룹', '겁꾸라', '꾸라', '미야와키사쿠라', '신아영', '아이돌', '주우재']"
5,kTGXzJCQ_Us,[SUB] 은은한 돌은좌 꾸라X세운❤‍🔥 돌려돌려 크루아상 베이킹 도전! │ [겁도 없꾸라] EP.06,24,669455,31000,0,NaN,2022-12-28T09:00:32Z,2499.74,1332,"['ANTIFRAGILE', 'fearless', '宮脇咲良', '르세라핌', '미야와키사쿠라', '사쿠라', '아이즈원', '정세운']"
6,85uATsLB19A,[SUB] 실버 꾸라도 하드캐리(?)한 세.체.원 ‘데프트 버스’ 출발! 🚌 │ [겁도 없꾸라] EP.07,24,2104516,59060,0,NaN,2023-01-04T09:00:06Z,2331.75,1105,"['ANTIFRAGILE', 'LOL', 'fearless', 'leagueoflegends', '宮脇咲良', '르세라핌', '미야와키사쿠라', '사쿠라', '아이즈원']"
7,5MDn7WFjys0,[SUB] 사쿠라님이 데프트님을 처치했습니다 (feat.  예능의 협곡 삼세판)  │ [겁도 없꾸라] EP.08,24,839264,28836,0,NaN,2023-01-11T09:00:03Z,2163.75,1151,"['ANTIFRAGILE', 'deft', 'fearless', 'leagueoflegends', 'lol', '宮脇咲良', '르세라핌', '미야와키사쿠라', '사쿠라', '아이즈원']"
8,KmdBFtBSC-8,[SUB] (전)세계 6위  김동현에게 배우는 걸그룹 최초 만두귀 비법?!🥟 주짓수 뽀개기👊🏻   │ [겁도 없꾸라] EP.09,24,946311,34818,0,NaN,2023-01-18T09:06:22Z,1995.65,1358,"['ANTIFRAGILE', 'fearless', '宮脇咲良', '르세라핌', '미야와키사쿠라', '사쿠라', '아이즈원', '쥬리', '호신술']"
9,Mf4D_qMuMhk,[SUB] 꾸라예나 VS 괴물(?) 국대 윤성빈의 킹받는 썰매왕 쟁탈전!(+근세라핌 3대 500 가능?)☃ │ [겁도 없꾸라] EP.10,24,1546277,51366,0,NaN,2023-01-25T09:00:18Z,1827.75,1665,"['ANTIFRAGILE', 'fearless', '宮脇咲良', '국가대표', '궤도', '르세라핌', '미야와키사쿠라', '사쿠라', '아이즈원']"
10,e0rN9QqkR7E,[SUB] 사쿠라 X 최예나 불지옥 100도씨 불한증막에서 K-겨울나기 도전! ♨  [겁도 없꾸라] EP.11,24,1750103,46690,0,NaN,2023-02-01T09:00:31Z,1659.74,1316,"['ANTIFRAGILE', 'LE SSERAFIM', 'fearless', '宮脇咲良', '르세라핌', '미야와키사쿠라', '사쿠라', '아이즈원', '예나']"
11,udAkMdSgPQs,[SUB] 꽃잎즈 사쿠라X카즈하! 찐 바쁜 ‘설 당일 떡집 알바’ 도전! 🌸🍃  [겁도 없꾸라] EP.12,24,1859626,50696,0,NaN,2023-02-08T09:00:29Z,1491.74,1469,"['ANTIFRAGILE', 'fearless', '宮脇咲良', '르세라핌', '미야와키사쿠라', '사쿠라', '아이즈원']"
12,m6ezK_RaNmA,[SUB] 역대급 쫄보 케미?! 사쿠라X은채 특수견 훈련 도전!🐶🔥 [겁도 없꾸라] EP.13,24,1171706,47453,0,NaN,2023-02-22T09:00:27Z,1155.75,1603,"['ANTIFRAGILE', 'fearless', '宮脇咲良', '르세라핌', '미야와키사쿠라', '사쿠라', '아이즈원']"
13,olQ4K0JvQrM,[SUB] 사쿠라X문빈X산하도 처음 먹는 한식?! 호불호 K푸드 감정 도전! [겁도 없꾸라] EP.14,24,1261161,51645,0,NaN,2023-02-28T09:00:28Z,1011.74,1399,"['ANTIFRAGILE', 'fearless', 'mukbang', '宮脇咲良', '르세라핌', '먹방', '미야와키사쿠라', '사쿠라', '아이즈원']"
