,title,category_id,views,likes,favorites,comments,date,tags
0,[아기공룡 둘리-추억의 명작만화★] 01화 아기공룡 둘리 등장,1,4628054,9681,0,Nan,2013-09-26T05:02:14Z,"['PLAYY Anime', 'PLAYYANI', '아기공룡둘리', '아기공룡', '둘리', '호이', '희동이', '또치', '마이콜', '구공탄', '추억', '명작', '명작 만화', '플레이애니', '몰아보기', '아기 공룡 둘리', '추억의 만화', '인기 만화', '스테디', '플레이키즈', '도우너', '길동아저씨', '공실이', '펭수선배', '남극유치원졸업생']"
1,[아기공룡 둘리-추억의 명작 만화★] 02화 내 친구들,1,4021557,8815,0,Nan,2013-09-25T10:13:43Z,"['PLAYYANI', 'PLAYY Anime', '아기공룡둘리', '아기공룡', '둘리', '호이', '희동이', '또치', '마이콜', '구공탄', '추억', '명작', '명작 만화', '플레이애니', '몰아보기', '아기 공룡 둘리', '추억의 만화', '인기 만화', '스테디', '플레이키즈', '무료만화', '도우너', '길동', '길동아저씨', '공실이', '호잇', '요리보고']"
2,[아기공룡 둘리-추억의 명작 만화★] 03화 희동이,1,4619437,10982,0,Nan,2013-09-26T03:28:04Z,"['PLAYY Anime', 'PLAYYANI', '아기공룡둘리', '아기공룡', '둘리', '호이', '희동이', '또치', '마이콜', '구공탄', '추억', '명작', '명작 만화', '플레이애니', '몰아보기', '아기 공룡 둘리', '추억의 만화', '인기 만화', '스테디', '플레이키즈', '무료만화', '도우너', '길동', '길동아저씨', '공실이', '호잇', '요리보고']"
3,[아기공룡 둘리-추억의 명작 만화★] 04화 타임코스모스 여행,1,7435892,12694,0,Nan,2013-09-26T03:47:11Z,"['PLAYYANI', 'PLAYY Anime', '아기공룡둘리', '아기공룡', '둘리', '호이', '희동이', '또치', '마이콜', '구공탄', '추억', '명작', '명작 만화', '플레이애니', '몰아보기', '아기 공룡 둘리', '추억의 만화', '인기 만화', '스테디', '플레이키즈', '무료만화', '도우너', '길동', '길동아저씨', '공실이', '호잇', '요리보고']"
4,[아기공룡 둘리-추억의 명작 만화★] 05화 슬픈 길동이,1,2232777,4416,0,Nan,2013-09-27T05:12:44Z,"['PLAYYANI', 'PLAYY Anime', '아기공룡둘리', '아기공룡', '둘리', '호이', '희동이', '또치', '마이콜', '구공탄', '추억', '명작', '명작 만화', '플레이애니', '몰아보기', '아기 공룡 둘리', '추억의 만화', '인기 만화', '스테디', '플레이키즈', '무료만화', '도우너', '길동', '길동아저씨', '공실이', '호잇', '요리보고']"
5,[아기공룡 둘리-추억의 명작 만화★] 06화 스타 탄생,1,1672374,3903,0,Nan,2013-09-26T04:07:44Z,"['PLAYY Anime', 'PLAYYANI', '아기공룡둘리', '아기공룡', '둘리', '호이', '희동이', '또치', '마이콜', '구공탄', '추억', '명작', '명작 만화', '플레이애니', '몰아보기', '아기 공룡 둘리', '추억의 만화', '인기 만화', '스테디', '플레이키즈', '무료만화', '도우너', '길동', '길동아저씨', '공실이', '호잇', '요리보고']"
6,"[아기공룡 둘리-추억의 명작 만화★] 07화 도우너, 엄마를 찾아서",1,3344011,5130,0,Nan,2013-09-26T05:09:30Z,"['PLAYY Anime', 'PLAYYANI', '아기공룡둘리', '아기공룡', '둘리', '호이', '희동이', '또치', '마이콜', '구공탄', '추억', '명작', '명작 만화', '플레이애니', '몰아보기', '아기 공룡 둘리', '추억의 만화', '인기 만화', '스테디', '플레이키즈', '무료만화', '도우너', '길동', '길동아저씨', '공실이', '호잇', '요리보고']"
7,[아기공룡 둘리-추억의 명작 만화★] 08화 또치 또치 또치,1,2799707,5740,0,Nan,2013-09-26T06:04:23Z,"['PLAYYANI', 'PLAYY Anime', '아기공룡둘리', '아기공룡', '둘리', '호이', '희동이', '또치', '마이콜', '구공탄', '추억', '명작', '명작 만화', '플레이애니', '몰아보기', '아기 공룡 둘리', '추억의 만화', '인기 만화', '스테디', '플레이키즈', '무료만화', '도우너', '길동', '길동아저씨', '공실이', '호잇', '요리보고']"
8,[아기공룡 둘리-추억의 명작 만화★] 09화 거짓말,1,3629994,9686,0,Nan,2013-09-26T07:25:20Z,"['PLAYY Anime', 'PLAYYANI', '아기공룡둘리', '아기공룡', '둘리', '호이', '희동이', '또치', '마이콜', '구공탄', '추억', '명작', '명작 만화', '플레이애니', '몰아보기', '아기 공룡 둘리', '추억의 만화', '인기 만화', '스테디', '플레이키즈', '무료만화', '도우너', '길동', '길동아저씨', '공실이', '호잇', '요리보고']"
9,[아기공룡 둘리-추억의 명작 만화★] 10화 꼴두기별 왕자님,1,3922159,10211,0,Nan,2013-09-26T08:31:08Z,"['PLAYY Anime', 'PLAYYANI', '아기공룡둘리', '아기공룡', '둘리', '호이', '희동이', '또치', '마이콜', '구공탄', '추억', '명작', '명작 만화', '플레이애니', '몰아보기', '아기 공룡 둘리', '추억의 만화', '인기 만화', '스테디', '플레이키즈', '무료만화', '도우너', '길동', '길동아저씨', '공실이', '호잇', '요리보고']"
