,id,title,category_id,views,likes,favorites,comments,date,duration,tags
0,aL_o7OWCp8U,남자들의 미용실,23,1640022,36950,0,NaN,2022-09-15T12:30:00Z,27,"['남자', '국룰', '개그', '한강좌', '김한강']"
1,zXJn4JeMq70,한강좌의 면접,23,1104013,41620,0,NaN,2022-09-21T09:00:36Z,35,NaN
2,kGIVpvRicuM,남자들이 2d를 좋아하는 이유,23,1422052,44260,0,NaN,2022-09-28T11:30:09Z,35,NaN
3,Lskd6HNCzVE,남자들이 엄마를 찾는 이유,23,1786293,51899,0,NaN,2022-10-11T12:00:13Z,33,NaN
4,OANsWf3DPn4,남자들의 롤모델,23,3210045,92469,0,NaN,2022-10-23T12:00:27Z,38,NaN
5,AkR9uITAMv0,김한강 시리즈 시즌1 모음집,23,371800,4227,0,NaN,2022-10-29T12:00:08Z,164,NaN
6,H8GUCFvorgw,남자들이 직캠에 빠지는 이유,23,3066782,85424,0,NaN,2022-11-19T12:25:31Z,43,NaN
7,cP96pigYljM,남자들의 전생체험,23,1390394,39884,0,NaN,2022-12-12T12:00:30Z,43,NaN
8,o_o3V4GGP7s,남자들이 논쟁을 피하는 이유,23,2216097,70059,0,NaN,2022-12-28T12:20:02Z,44,NaN
9,0DYl25O-Lp8,남자들이 마술을 좋아하는 이유,23,1206456,42704,0,NaN,2023-01-15T12:00:02Z,48,NaN
10,7W12SakS1zQ,남자들이 중고거래를 좋아하는 이유,23,2783072,80292,0,NaN,2023-01-20T12:00:05Z,40,NaN
11,zT-7l8LUczo,남자들이 취업을 좋아하는 이유,23,1980011,58583,0,NaN,2023-01-27T12:00:41Z,29,NaN
12,kBv1D-_QjvY,남자들이 유부남을 좋아하는 이유,23,2716110,98713,0,NaN,2023-02-01T12:00:26Z,27,NaN
13,C8PfX_u5T_8,남자들이 수업을 좋아하는 이유,23,3710087,128413,0,NaN,2023-02-04T06:00:04Z,30,NaN
14,6NhmbzHuZZ4,남자들이 조언을 좋아하는 이유,23,1727440,51776,0,NaN,2023-02-10T12:00:13Z,32,NaN
15,mVk8uIwnD6Q,남자들이 초콜릿을 좋아하는 이유,23,1326865,38970,0,NaN,2023-02-14T12:02:38Z,27,NaN
16,0CkWRkjr-fE,남자들이 낯선 사람을 좋아하는 이유,23,1488013,44429,0,NaN,2023-02-16T12:00:01Z,27,NaN
17,fF6xuk75zj4,남자들이 동료를 좋아하는 이유,23,1221537,40850,0,NaN,2023-02-21T12:00:33Z,29,NaN
18,m5yUnrdnSDU,남자들이 거짓말을 좋아하는 이유,23,1959114,71119,0,NaN,2023-02-25T12:00:35Z,28,NaN
19,tkorfQsWNdo,남자들이 칭찬을 좋아하는 이유,23,1322274,45535,0,NaN,2023-03-01T12:00:39Z,32,NaN
20,JAHaqZbNbws,남자들이 허세를 좋아하는 이유,23,2567385,76659,0,NaN,2023-03-05T12:00:20Z,38,NaN
21,o_ymrp0qRy8,남자들이 청소를 좋아하는 이유,23,2184199,61075,0,NaN,2023-03-08T12:00:37Z,46,NaN
22,sIRErEvmF4I,남자들이 비행을 좋아하는 이유,23,1664569,58823,0,NaN,2023-03-12T12:00:40Z,44,NaN
23,AQntXssgiXM,김한강 시리즈 시즌2 모음집,23,212974,2666,0,NaN,2023-03-15T09:00:05Z,619,NaN
24,McibZIq-C0g,남자들이 군대를 좋아하는 이유,23,1287581,46706,0,NaN,2023-03-22T12:00:30Z,57,NaN
25,-4chK9_aO9Q,남자들이 타투를 좋아하는 이유,23,1446012,49034,0,NaN,2023-03-26T12:00:00Z,38,NaN
26,v243Z8MjkJk,남자들이 공부를 좋아하는 이유,23,878205,27606,0,NaN,2023-03-30T12:00:43Z,43,NaN
27,hK0mu4LSDLo,남자들이 가짜를 좋아하는 이유,23,1472669,47106,0,NaN,2023-04-05T12:00:35Z,59,NaN
28,4dRColTcbjw,남자들이 노래를 좋아하는 이유,23,393239,19904,0,NaN,2023-04-20T11:00:04Z,60,NaN
29,rupNrA7NmPU,남자들이 축제를 좋아하는 이유,23,186197,7643,0,NaN,2023-04-21T09:59:28Z,56,NaN
